nm_pol,murder,rape,gangrape,robbery,theft,assualt murders,sexual harassement,totarea,totalcrime,long,lat,crime/area,area
CHITRANJAN PARK,2,6,1,35,442,19,7,2659329.537,512,77.2492,28.53632,192.5297308,2.659329537
DABRI,8,28,0,79,240,26,16,3401013.428,397,77.086,28.61268,116.7299125,3.401013428
MALVIYA NAGAR,3,28,1,33,694,63,15,1379853.572,837,77.20418,28.52989,606.5861022,1.379853572
CHANDNI MAHAL,1,8,1,23,529,19,7,5570696.132,588,77.23608,28.64361,105.5523378,5.570696132
MODEL TOWN,0,4,1,45,393,9,14,2689157.085,466,77.19369,28.70257,173.2885009,2.689157085
ANANDVIHAR,10,14,0,99,457,24,15,4558969.692,619,77.29373,28.65335,135.776292,4.558969692
KASHMERE GATE,0,9,3,17,340,17,12,1627909.974,398,77.22618,28.66645,244.4852641,1.627909974
GOVIND PURI,1,4,3,31,692,5,5,8992712.06,741,77.26532,28.53067,82.40005852,8.99271206
BINDAPUR,4,4,1,64,417,11,8,2568079.5,509,77.06618,28.6091,198.2025868,2.5680795
NEW FRIENDS COLONY,6,7,1,47,609,14,10,4045386.71,694,77.2676,28.56234,171.5534385,4.04538671
SARITA VIHAR,1,12,0,12,211,8,1,7942774.025,245,77.30617,28.52299,30.84564653,7.942774025
TIMARPUR,8,17,1,60,626,23,5,6149745.104,740,77.2242,28.7072,120.3301905,6.149745104
KANJHAWALA,1,5,2,15,307,21,10,35490190.9,361,77.00361,28.72582,10.17182469,35.4901909
ANAND PARBAT,5,20,1,77,374,35,9,1948430.286,521,77.17376,28.66004,267.394735,1.948430286
SAGARPUR,2,7,0,11,180,4,4,1283551.172,208,77.08644,28.59139,162.0504149,1.283551172
PRASHANT VIHAR,7,8,0,41,457,39,14,2076678.927,566,77.12757,28.71793,272.5505578,2.076678927
SOUTH CAMPUS,10,11,1,38,248,8,9,4518856.098,325,77.179,28.57051,71.92085629,4.518856098
ROHINI SOUTH,6,14,0,96,560,24,5,2649542.395,705,77.1159,28.70236,266.0836835,2.649542395
PUNJABI BAGH,9,24,0,64,1251,54,19,2577310.64,1421,77.13276,28.67441,551.349914,2.57731064
DWARKA NORTH,3,2,0,10,104,10,13,30068547.98,142,77.01564,28.60369,4.722542641,30.06854798
BURARI,3,12,0,56,562,21,17,11333876.3,671,77.19735,28.73664,59.203046,11.3338763
JAMA MASJID,4,19,0,13,317,10,1,3817050.224,364,77.23362,28.65284,95.36159563,3.817050224
ADRASH NAGAR,3,15,0,41,354,18,3,1646190.527,434,77.17532,28.70984,263.6389852,1.646190527
CHANAKYAPURI,1,7,2,40,649,20,4,10993452.52,723,77.19606,28.60337,65.76641857,10.99345252
PANDAV NAGAR,5,16,3,27,351,23,10,1470612.978,435,77.30265,28.62038,295.7950231,1.470612978
MIANWALI NAGAR,1,12,1,46,400,27,8,1729847.853,495,77.08879,28.67965,286.1523337,1.729847853
FATEHPUR BERI,7,10,0,60,683,7,9,35895594.95,776,77.15114,28.46549,21.61825152,35.89559495
NABI KARIM,4,4,0,29,612,6,5,1799866.446,660,77.21754,28.64981,366.6938741,1.799866446
RAJOURI GARDEN,1,7,0,37,567,20,4,1731624.057,636,77.11992,28.63969,367.2852645,1.731624057
JAHANGIR PURI,1,23,1,17,441,36,6,2463668.046,525,77.17487,28.73358,213.0968906,2.463668046
KAMLA MARKET,4,11,0,5,107,7,5,3095888.323,139,77.22621,28.64295,44.89826037,3.095888323
BARAKHAMBA ROAD,9,14,1,125,808,16,38,3748441.999,1011,77.22498,28.63089,269.7120565,3.748441999
SAFDARJUNG ENCLAVE,2,7,0,1,83,3,10,2366255.942,106,77.20489,28.56934,44.79650663,2.366255942
MUKHERJI NAGAR,1,8,0,54,789,14,7,6149745.104,873,77.20856,28.70024,141.9571031,6.149745104
FARASH BAZAR,6,3,1,20,374,14,9,1721757.744,427,77.29224,28.66879,248.0023694,1.721757744
KALKAJI,2,9,0,17,141,8,2,2659329.537,179,77.25743,28.53321,67.31019886,2.659329537
KALKAJI,2,9,0,17,141,8,2,2745338.744,179,77.25644,28.54728,65.20142565,2.745338744
PARSHAD NAGAR,1,12,2,36,466,6,13,4104570.166,536,77.18053,28.64784,130.5861462,4.104570166
LODHI COLONY,0,5,0,17,168,13,5,2116960.63,208,77.24047,28.58744,98.25407096,2.11696063
INDERPURI,0,13,0,17,212,31,5,1255396.299,278,77.14501,28.63077,221.4440175,1.255396299
OKHLA,6,27,3,8,174,13,13,1716036.19,244,77.27462,28.52678,142.1881435,1.71603619
SAMAYPURBADLI,0,2,0,5,74,7,2,3249865.013,90,77.14219,28.72516,27.69345792,3.249865013
JAFFARPUR KALAN,2,11,1,35,719,8,5,70469487.22,781,76.91555,28.59572,11.08281089,70.46948722
MAYA PURI,3,21,2,17,256,28,17,2553754.816,344,77.12084,28.62657,134.7036128,2.553754816
AMAN VIHAR,10,14,1,84,487,25,12,3296887.934,633,77.06081,28.70965,191.9992467,3.296887934
VIJAY VIHAR,0,3,0,9,232,6,5,2649542.395,255,77.10186,28.71003,96.24303447,2.649542395
AMAR COLONY,3,14,1,88,484,17,40,1505936.692,647,77.24093,28.55914,429.6329345,1.505936692
ALIPUR,6,15,1,52,320,22,18,51545474.92,434,77.13913,28.79903,8.419749759,51.54547492
MAHENDRA PARK,0,15,2,37,832,28,4,2463668.046,918,77.16418,28.72579,372.6151344,2.463668046
VASANT KUNJ SOUTH,0,1,0,1,65,1,3,14105371.6,71,77.15236,28.53492,5.033543391,14.1053716
BHALSWA DAIRY,2,13,1,28,338,23,12,4498522.05,417,77.16574,28.74286,92.69711149,4.49852205
BAWANA,6,20,3,93,383,13,8,40327922.92,526,77.04254,28.79654,13.04307194,40.32792292
BEGUM PUR,0,4,0,73,413,5,4,35490190.9,499,77.05179,28.72449,14.06022305,35.4901909
NARAINA,2,11,0,28,425,18,12,14937293.49,496,77.13777,28.63356,33.20547998,14.93729349
NEB SARAI,3,20,2,35,626,19,13,8344724.019,718,77.21428,28.49893,86.04239018,8.344724019
RAJINDER NAGAR,1,21,1,31,474,32,11,3013302.528,571,77.18285,28.63505,189.4930876,3.013302528
SHALIMAR BAGH,8,9,0,45,335,13,23,1281611.56,433,77.15712,28.71681,337.855879,1.28161156
KESHAV PURAM,1,43,0,21,336,47,10,1352844.685,458,77.15977,28.68423,338.5458842,1.352844685
RANI BAGH,2,25,1,56,496,27,10,2974723.888,617,77.11933,28.69784,207.4142083,2.974723888
BARA HINDU RAO,6,20,2,35,284,10,10,1749323.881,367,77.20846,28.66539,209.7953409,1.749323881
CONNAUGHT PLACE,1,11,0,55,800,36,6,5266891.996,909,77.21432,28.63,172.5875527,5.266891996
H. N. DIN,1,8,1,15,214,14,4,10316304.04,257,77.24417,28.59238,24.91202265,10.31630404
DARYA GANJ,4,5,0,19,180,8,6,5570696.132,222,77.24062,28.6419,39.85139285,5.570696132
MANGOLPURI,8,15,1,9,116,27,10,2980192.322,186,77.09163,28.69664,62.41207947,2.980192322
VIVEKVIHAR,0,1,0,6,120,1,3,4731868.997,131,77.30662,28.66676,27.68462104,4.731868997
LAHORI GATE,9,12,2,10,244,20,5,2975208.719,302,77.21885,28.65557,101.5054836,2.975208719
SULTAN PURI,0,9,0,66,631,16,7,1975070.373,729,77.07856,28.70265,369.1007723,1.975070373
GEETA COLONY,3,6,0,9,254,9,11,1021961.219,292,77.27642,28.6554,285.7251279,1.021961219
CIVIL LINES,3,9,0,63,791,24,17,4215542.88,907,77.2215,28.68851,215.1561556,4.21554288
ASHOK VIHAR,5,10,2,52,445,22,7,3536288.039,543,77.17432,28.69245,153.5508403,3.536288039
TILAK NAGAR,7,29,3,44,466,27,8,1622207.446,584,77.10143,28.63896,360.003279,1.622207446
PALAM VILLAGE,4,9,3,22,192,19,4,1326803.624,253,77.08293,28.58809,190.6838324,1.326803624
MOTI NAGAR,2,24,0,44,814,41,24,3148605.142,949,77.14659,28.66013,301.4033063,3.148605142
HARI NAGAR,5,17,0,11,469,21,5,2386161.479,528,77.09946,28.60935,221.2758879,2.386161479
PAHARGANJ,7,16,0,19,283,29,14,1728182.346,368,77.20931,28.64583,212.9404925,1.728182346
SADAR BAZAR,4,3,0,13,379,3,4,2975208.719,406,77.21115,28.65399,136.4610144,2.975208719
SAROJINI NAGAR,1,5,0,25,347,6,0,1891342.634,384,77.19913,28.57449,203.0303727,1.891342634
NAJAFGARH,2,4,0,54,895,9,9,8461597.124,973,76.98269,28.60975,114.9901119,8.461597124
KAPASHERA,1,12,3,19,143,16,2,21500572.79,196,77.0872,28.52958,9.116036206,21.50057279
KALYANPURI,5,8,0,33,245,9,3,878452.7789,303,77.31708,28.61363,344.9246303,0.878452779
BADAR PUR,4,11,1,59,318,10,8,2116989.697,411,77.30357,28.49385,194.1435995,2.116989697
SUBHASH PLACE,10,15,1,54,590,5,26,885072.498,701,77.14412,28.68901,792.0255138,0.885072498
SUBZIMANDI,7,14,2,61,644,9,17,2975208.719,754,77.20774,28.66917,253.4275982,2.975208719
MAURICE NAGAR,2,31,0,31,469,38,10,6149745.104,581,77.20652,28.69251,94.47546039,6.149745104
MANDIR MARG,5,24,4,50,817,68,15,9889059.631,983,77.20325,28.63857,99.40277809,9.889059631
TUGLAK ROAD,3,15,0,67,595,17,8,6857849.293,705,77.21117,28.59827,102.8019091,6.857849293
LAJPAT NAGAR,1,7,0,15,160,8,8,1505936.692,199,77.24052,28.56843,132.1436692,1.505936692
KRISHNA NAGAR,7,13,2,14,133,25,4,1904048.824,198,77.28072,28.66699,103.9889301,1.904048824
PRASHANT VIHAR,7,8,0,41,457,39,14,6857849.293,566,77.23372,28.60415,82.53316394,6.857849293
ANANDVIHAR,10,14,0,99,457,24,15,4558969.692,619,77.31306,28.65597,135.776292,4.558969692
SWARUP NAGAR,4,23,1,52,443,31,6,12088114.57,560,77.1562,28.75841,46.32649671,12.08811457
GREATER KAILASH,0,2,0,12,164,6,4,3793564.843,188,77.23278,28.5541,49.55760816,3.793564843
VIKAS PURI,2,3,1,14,204,7,1,1247661.874,232,77.06834,28.62997,185.9478156,1.247661874
UTTAM NAGAR,2,10,1,81,1042,23,21,2747375.479,1180,77.06488,28.62499,429.5008123,2.747375479
DEFENCE COLONY,3,14,1,25,158,16,10,2480276.534,227,77.23337,28.56468,91.52205283,2.480276534
JAMIA NAGAR,9,23,4,20,261,23,5,7880690.981,345,77.29235,28.56207,43.7778871,7.880690981
KASHMERE GATE,0,9,3,17,340,17,12,1627909.974,398,77.2315,28.66254,244.4852641,1.627909974
PULPRAHLAD PUR,2,15,1,41,389,24,9,3852127.696,481,77.29099,28.50165,124.8660579,3.852127696
SARITA VIHAR,1,12,0,12,211,8,1,6171102.991,245,77.28196,28.54046,39.70116855,6.171102991
NANGLOI,3,13,5,58,838,23,15,2253261.514,955,77.06698,28.68199,423.8300765,2.253261514
SAFDARJUNG ENCLAVE,2,7,0,1,83,3,10,3486811.523,106,77.19855,28.55848,30.40026664,3.486811523
HAUZQAZI,1,6,0,12,431,37,4,3095888.323,491,77.22548,28.64335,158.5974521,3.095888323
DWARKA SOUTH,4,8,2,28,299,17,4,30068547.98,362,77.06666,28.57837,12.039158,30.06854798
PASCHIM VIHAR,2,13,0,48,526,13,30,3794663.797,632,77.10115,28.67112,166.5496692,3.794663797
BINDAPUR,4,4,1,64,417,11,8,2747375.479,509,77.06744,28.62046,185.2677233,2.747375479
TILAK MARG,8,19,1,36,294,16,7,3748441.999,381,77.23537,28.61821,101.642229,3.748441999
RAJOURI GARDEN,1,7,0,37,567,20,4,1798942.912,636,77.1196,28.65151,353.5409577,1.798942912
SANGAM VIHAR,3,6,0,17,179,8,2,3105723.33,215,77.24299,28.50957,69.22702931,3.10572333
MAYURVIHAR,0,7,0,13,201,10,14,2111658.828,245,77.30367,28.60733,116.0225301,2.111658828
SHAHBAD DAIRY,0,8,0,18,315,5,6,49822649.53,352,77.07894,28.74766,7.065059834,49.82264953
GANDHI NAGAR,1,2,0,32,313,5,1,1205110.776,354,77.26733,28.65955,293.7489292,1.205110776
DWARKA SEC-23,4,1,0,28,437,4,1,30068547.98,475,77.05849,28.56411,15.79723771,30.06854798
RANJIT NAGAR,3,9,0,38,324,16,13,2003783.762,403,77.15868,28.64751,201.1195058,2.003783762
RANHOLA,3,15,2,45,319,47,33,11283823.51,464,77.03599,28.65375,41.1208133,11.28382351
SAKET,2,0,0,2,126,4,0,2732945.718,134,77.22715,28.52882,49.0313434,2.732945718
SHAKARPUR,4,2,0,38,266,13,4,3019451.766,327,77.2703,28.63775,108.2978055,3.019451766
PREETVIHAR,4,5,1,42,509,3,4,2272578.698,568,77.29526,28.63852,249.9363391,2.272578698
KIRTI NAGAR,6,16,2,16,203,23,8,1511976.155,274,77.13509,28.64053,181.2197891,1.511976155
HAUZ KHAS,4,10,1,17,367,15,3,2436526.458,417,77.20847,28.54939,171.1452788,2.436526458
BAWANA,6,20,3,93,383,13,8,40327922.92,526,77.0228,28.80659,13.04307194,40.32792292
KN KATJU MARG,1,3,0,14,273,8,4,8251478.933,303,77.121,28.73043,36.72069001,8.251478933
I.P. ESTATE,5,22,2,18,576,27,4,9253420.865,654,77.24722,28.6274,70.67656487,9.253420865
KOTALA MUBARAK PUR,7,2,5,28,467,48,14,1628367.164,571,77.22514,28.5759,350.6580165,1.628367164
DELHI CANTT,1,7,0,27,246,9,3,42836353.41,293,77.12437,28.59872,6.839984655,42.83635341
D.B.G ROAD,4,11,1,57,397,18,12,1643641.889,500,77.19326,28.65258,304.2025173,1.643641889
KHYALA,5,18,6,30,663,60,11,2093069.914,793,77.11332,28.65761,378.869332,2.093069914
JAGATPURI,9,30,0,23,645,27,6,1021961.219,740,77.2839,28.64359,724.0979268,1.021961219
PATEL NAGAR,2,6,2,47,437,10,13,4104570.166,517,77.15822,28.65237,125.9571597,4.104570166
VASANT VIHAR,2,5,1,5,41,5,3,14105371.6,62,77.16933,28.55797,4.395488595,14.1053716
KAROL BAGH,4,24,0,36,129,9,8,1643641.889,210,77.1932,28.65256,127.7650573,1.643641889
SUNLIGHT COLONY,6,27,0,82,1273,40,5,2112193.774,1433,77.26018,28.57835,678.4415415,2.112193774
NARELA,6,17,0,17,316,38,6,20333276.97,400,77.08849,28.85321,19.67218568,20.33327697
NEW ASHOK NAGAR,2,18,2,126,945,52,34,3300804.937,1179,77.31178,28.59818,357.1856024,3.300804937
PARLIAMENT STREET,7,5,0,29,368,18,12,5266891.996,439,77.21366,28.62473,83.35086429,5.266891996
NIHAL VIHAR,1,6,3,39,437,14,9,3660010.619,509,77.0717,28.665,139.0706348,3.660010619
MADHUVIHAR,4,23,1,9,623,40,7,4995712.622,707,77.30612,28.62543,141.5213511,4.995712622
BHARAT NAGAR,3,5,0,44,256,15,18,1939521.818,341,77.17851,28.68062,175.8165321,1.939521818
MANDAWALI,2,9,1,15,522,21,23,4995712.622,593,77.30612,28.62543,118.7017839,4.995712622
BABA HARI DAS NAGAR,2,9,1,67,409,17,7,28982133.58,512,76.96681,28.62867,17.66605618,28.98213358
CHHAWLA,2,6,0,62,480,15,10,26309445.59,575,76.99466,28.58691,21.8552686,26.30944559
MEHRAULI,0,5,1,21,541,23,21,38911866.78,612,77.18019,28.52149,15.7278499,38.91186678
MAURYA ENCLAVE,4,14,1,28,359,45,21,5879256.003,472,77.14605,28.70045,80.28226697,5.879256003
JANAK PURI,8,16,5,31,403,25,3,2051115.234,491,77.08188,28.62863,239.3819674,2.051115234
SARAI ROHILLA,0,14,1,15,320,11,2,1948430.286,363,77.18368,28.66837,186.3038173,1.948430286
GULABIBAGH,1,0,1,22,295,2,2,2218660.178,323,77.19262,28.67005,145.5833585,2.218660178
ROOP NAGAR,10,16,1,31,436,25,13,1076492.634,532,77.20265,28.68499,494.1975293,1.076492634
VASANT KUNJ NORTH,2,8,0,35,648,14,2,14105371.6,709,77.15232,28.53486,50.26453893,14.1053716
ROHINI NORTH,2,18,1,18,425,23,9,2076678.927,496,77.11815,28.70894,238.8428916,2.076678927
GHAZIPUR,0,2,0,1,107,1,1,2886810.13,112,77.33267,28.62486,38.79714804,2.88681013
SEEMAPURI,1,2,0,16,263,14,11,4731868.997,307,77.31653,28.67811,64.8792264,4.731868997
SEELAMPUR,4,16,1,46,411,12,12,1576237.38,502,77.26855,28.6743,318.4799488,1.57623738
MANSAROVAR PARK,7,29,0,17,336,30,20,2231365.619,439,77.29856,28.68277,196.7405055,2.231365619
SHAHDARA,1,11,0,8,142,47,15,2231365.619,224,77.28518,28.6742,100.386955,2.231365619
KHAJURIKHAS,2,7,0,20,175,24,6,4453887.398,234,77.2561,28.71113,52.53837358,4.453887398
JYOTI NAGAR,8,13,2,11,160,11,18,1275858.528,223,77.2917,28.69612,174.7842688,1.275858528
HARSH VIHAR,2,9,0,23,471,17,7,2572204.895,529,77.31849,28.70603,205.6601327,2.572204895
MUNDKA,1,5,0,11,239,11,3,48582358.64,270,76.96085,28.67042,5.557572904,48.58235864
BHAJANPURI,3,19,4,25,193,19,28,10157991.64,291,77.2644,28.70128,28.64739511,10.15799164
ZAFRABAD,1,2,0,3,66,4,3,1576237.38,79,77.27297,28.67909,50.11935449,1.57623738
WELCOME,0,2,0,15,337,5,5,1805524.407,364,77.27479,28.67341,201.6034779,1.805524407
NANDNAGARI,9,26,2,30,580,34,11,2028156.97,692,77.30817,28.69853,341.1964707,2.02815697
G.T.B. ENCLAVE,1,1,0,13,86,6,7,2874304.374,114,77.316,28.68496,39.66177035,2.874304374
NEW USMANPUR,0,8,1,10,580,9,5,3093393.387,613,77.26207,28.67202,198.1642563,3.093393387
SONIA VIHAR,6,25,1,25,300,42,8,4453887.398,407,77.25611,28.71128,91.38084635,4.453887398
KARAWAL NAGAR,7,15,2,26,334,19,7,2937546.578,410,77.2745,28.73284,139.572255,2.937546578
GOKULPURI,2,6,2,22,306,19,8,1566343.791,365,77.28085,28.70225,233.0267481,1.566343791
